identifier,xml_tag,source_file,urgency,frequency,group,note,category,tags,suitable,reduces,afflicts
deusizine,Deusizine,medical.xml,9.7,2.6,resuscitation,Почти паническое средство широкого профиля.,medical,"chem,medical,smallitem,syringe","bleeding,bloodloss,burn,damage,infection,internaldamage,oxygenlow","bleeding,bloodloss,damage,infection,internaldamage,oxygenlow,stun","burn,strengthen,stun"
cyanide,Cyanide,poisons.xml,9.6,1.2,poison,Быстро смертельный яд.,medical,"chem,poison,smallitem,syringe",,,"cyanidepoisoning,stun"
cyanideantidote,CyanideAntidote,medical.xml,9.5,1.8,antidote,Антидот к быстрому смертельному отравлению.,medical,"chem,medical,smallitem,syringe",cyanidepoisoning,cyanidepoisoning,stun
liquidoxygenite,LiquidOxygenite,medical.xml,9.4,4.3,oxygen,"Острая нехватка кислорода, но применяется ситуативно.",medical,"chem,medical,smallitem,syringe","organdamage,oxygenlow",oxygenlow,"burn,organdamage,stun"
sufforinantidote,SufforinAntidote,medical.xml,9.3,1.6,antidote,"Срочный, редкий антидот.",medical,"chem,medical,smallitem,syringe",sufforinpoisoning,sufforinpoisoning,stun
morbusineantidote,MorbusineAntidote,medical.xml,9.2,1.7,antidote,"Антидот нужен срочно, но только при конкретном яде.",medical,"chem,medical,smallitem,syringe",morbusinepoisoning,morbusinepoisoning,stun
antiparalysis,ParalysisAntidote,medical.xml,9.1,1.9,antidote,"Паралич требует быстрой реакции, но редок.",medical,"chem,medical,smallitem,syringe","paralysis,paralysisresistance",,"paralysisresistance,psychosis,stun"
antibleeding1,Bandage,medical.xml,9.0,9.5,trauma,Базовое лечение кровотечения и ожогов.,medical,"medical,smallitem","bleeding,burn","bleeding,burn",
calyxanide,Calyxanide,medical.xml,8.9,3.9,infection,"Срочно при husk infection, но случай не постоянный.",medical,"chem,medical,smallitem,syringe",huskinfection,huskinfection,"organdamage,stun"
paralyzant,Paralyzant,poisons.xml,8.9,1.3,poison,Паралич опасен и требует антидота.,medical,"chem,poison,smallitem,syringe",,,"paralysis,stun"
antibleeding3,AntibioticGlue,medical.xml,8.8,4.8,trauma,"Сильный клей для тяжелых ран, но редкий.",medical,"medical,smallitem","bleeding,burn,damage,infection","bleeding,burn,infection",organdamage
deliriumineantidote,DeliriumineAntidote,medical.xml,8.8,1.5,antidote,Редкий антидот от deliriumine.,medical,"chem,medical,smallitem,syringe",deliriuminepoisoning,deliriuminepoisoning,stun
sufforin,Sufforin,poisons.xml,8.8,1.1,poison,Опасный редкий яд.,medical,"chem,poison,smallitem,syringe",,,"stun,sufforinpoisoning"
antibleeding2,Plastiseal,medical.xml,8.7,7.6,trauma,"Более сильное лечение ран, часто в аптечках.",medical,"medical,smallitem","bleeding,burn","bleeding,burn",
antidama2,Fentanyl,medical.xml,8.7,5.2,trauma,Сильный анальгетик для критических случаев.,medical,"chem,medical,smallitem,syringe","damage,opiateaddiction,opiateoverdose,oxygenlow","burn,damage,opiatewithdrawal","opiateaddiction,opiateoverdose,oxygenlow,stun"
antibloodloss2,BloodPack,medical.xml,8.6,6.4,blood,"Сильнее saline, полезно при тяжелой кровопотере.",medical,"chem,medical,petfood1,smallitem",bloodloss,bloodloss,
morbusine,Morbusine,poisons.xml,8.6,1.1,poison,"Яд: высокая срочность как угроза, низкая частота лечения им.",medical,"chem,poison,smallitem,syringe",,,"morbusinepoisoning,stun"
antinarc,Naloxone,medical.xml,8.4,4.2,antidote,"Срочно при опиатной передозировке, но не расходуется постоянно.",medical,"chem,medical,smallitem,syringe","opiateaddiction,opiateoverdose,opiatewithdrawal","opiateaddiction,opiateoverdose,opiatewithdrawal","oxygenlow,stun"
pomegrenadeextract,pomegrenadeextract,medical.xml,8.3,2.4,oxygen,"Сильный кислородный эффект, нишевое средство.",medical,"chem,medical,smallitem,syringe","burn,damage,oxygenlow","burn,damage","oxygenlow,stun"
radiotoxin,Radiotoxin,poisons.xml,8.2,1.1,poison,"Опасный, но редкий яд.",medical,"chem,poison,smallitem,syringe",,,"radiationsickness,stun"
antirad,AntiRad,medical.xml,8.1,2.0,antidote,"Радиация опасна, но обычно ситуативна.",medical,"chem,medical,smallitem,syringe",radiationsickness,radiationsickness,stun
antidama1,Morphine,medical.xml,8.0,8.2,trauma,"Частый анальгетик против урона, риск передоза.",medical,"chem,medical,smallitem,syringe","damage,opiateaddiction,opiateoverdose,opiatewithdrawal,oxygenlow","burn,damage,opiatewithdrawal","opiateaddiction,opiateoverdose,oxygenlow,stun"
antibloodloss1,Saline,medical.xml,8.0,8.0,blood,Базовая компенсация кровопотери.,medical,"chem,medical,petfood1,petfood2,petfood3,smallitem",bloodloss,"bloodloss,infection",
deliriumine,Deliriumine,poisons.xml,7.8,1.1,poison,Редкий психоактивный яд.,medical,"chem,poison,smallitem,syringe",,,"deliriuminepoisoning,stun"
adrenaline,Adrenaline,medical.xml,7.7,5.7,resuscitation,Боевой стимулятор и компонент.,"material,medical","chem,medical,smallitem,syringe",,,"adrenalinerush,nausea,organdamage,stun"
stabilozine,Stabilozine,medical.xml,7.3,6.6,misc,Универсальный стабилизатор и компонент.,medical,"chem,medical,smallitem,syringe","deliriuminepoisoning,poison,stabilozineeffect",,"stabilozineeffect,stun"
meth,Methamphetamine,buffs.xml,6.9,3.8,buff,"Стимулятор для боя/спасения, не базовое лечение.",medical,"chem,medical,smallitem,syringe",,"chemwithdrawal,oxygenlow,stun","chemaddiction,haste,organdamage,stun"
chloralhydrate,ChloralHydrate,poisons.xml,6.9,1.8,poison,"Снотворный яд, ситуативен.",medical,"chem,poison,smallitem,syringe",,,"incrementalstun,organdamage,stun"
hyperzine,Hyperzine,buffs.xml,6.7,2.4,buff,"Сильный бафф, но редкий и дорогой.",medical,"chem,medical,smallitem,syringe",,"chemwithdrawal,damage,oxygenlow,stun","burn,chemaddiction,haste,strengthen,stun"
antibiotics,Antibiotics,medical.xml,6.6,5.4,infection,"Профилактика/лечение инфекций, не всегда срочно.",medical,"chem,medical,smallitem,syringe","damage,huskinfection,infection","huskinfection,infection","drunkweakness,huskinfectionresistance,organdamage,stun"
opium,Opium,medical.xml,6.2,5.6,trauma,"Раннее обезболивание/сырье, но с рисками.",medical,"chem,smallitem","damage,opiateaddiction,opiateoverdose,opiatewithdrawal,oxygenlow","burn,damage,opiatewithdrawal","opiateaddiction,opiateoverdose,oxygenlow"
antipsychosis,Haloperidol,medical.xml,6.0,4.0,antidote,"Психоз опасен, но встречается не каждый рейс.",medical,"chem,medical,smallitem,syringe",psychosis,"hallucinating,psychosis",stun
steroids,AnabolicSteroids,buffs.xml,5.8,3.0,buff,"Бафф силы, обычно плановое применение.",medical,"chem,medical,smallitem,syringe",,"chemwithdrawal,oxygenlow","chemaddiction,strengthen,stun"
beerbottle1,Item,buffs.xml,5.7,6.1,food_drink,оценка по XML-эффектам и доступности,"medical,misc",smallitem,psychosis,"damage,hallucinating,psychosis",drunk
sulphuricacid,SulphuricAcid,poisons.xml,5.6,2.1,poison,Опасная химия и компонент.,medical,"chem,poison,smallitem",,,acidburn
raptorbaneextract,raptorbaneextract,poisons.xml,5.2,1.4,poison,"Больше токсин/компонент, чем частая медицина.",medical,"chem,poison,smallitem,syringe",,,"nausea,organdamage,stun"
hallucinogenicbufotoxin,Bufotoxin,poisons.xml,4.8,1.2,poison,Нишевый токсин.,medical,"chem,medical,poison,smallitem",,paralysis,psychosis
tonicliquid,TonicLiquid,medical.xml,4.7,4.1,buff,"Усилитель длительности эффектов, скорее подготовка.","material,medical","chem,medical,smallitem","burn,damage,opiateoverdose,opiatewithdrawal,oxygenlow",damage,durationincrease
mindsense,MindSense,buffs.xml,4.5,2.4,buff,Полезный редкий бафф.,medical,"chem,medical,smallitem",,,mindsense
energydrink,EnergyDrink,buffs.xml,3.9,4.7,food_drink,Бытовой/баффовый расходник.,"material,medical","chem,medical,smallitem",,,"haste,nausea"
ethanol,Ethanol,buffs.xml,3.4,5.5,food_drink,"Часто доступен, медицинская срочность низкая.","material,medical","chem,medical,petfood2,smallitem","burn,infection","hallucinating,infection,psychosis","burn,drunk,psychosisresistance"
mindwipe,MindWipe,buffs.xml,3.2,1.4,misc,Нишевое средство.,medical,smallitem,,,
proteinbar,ProteinBar,buffs.xml,2.4,5.0,food_drink,"Еда/легкий бафф, не срочная медицина.","material,medical","medical,smallitem",,"burn,damage",strengthen
elastin,Elastin,medical.xml,2.0,5.0,material,"Материал для крафта, не применяется срочно.",material,"chem,smallitem",,,
